brand,date,spend,transactions,avg_ticket_size,spend_ly,spend_yoy_pct
BURGER KING,2018-05-02,1509943.89,168086.73,8.983123712383481,,
BURGER KING,2018-05-03,1650938.58,180789.6,9.1318227375911,,
BURGER KING,2018-05-04,1845269.91,193284.95,9.546888725687126,,
BURGER KING,2018-05-05,1666318.96,158165.61,10.535279824735605,,
BURGER KING,2018-05-06,1505117.18,138941.11,10.83277066089367,,
BURGER KING,2018-05-07,1349118.6,150794.97,8.946708235692478,,
BURGER KING,2018-05-08,1388777.64,155261.38,8.944771970982094,,
BURGER KING,2018-05-09,1480704.31,165355.89,8.954651146687306,,
BURGER KING,2018-05-10,1601062.72,175606.9,9.117310994044084,,
BURGER KING,2018-05-11,1832824.8,192359.25,9.528134467149357,,
BURGER KING,2018-05-12,1677371.05,160028.21,10.481721004065472,,
BURGER KING,2018-05-13,1241227.46,117838.07,10.53333154556927,,
BURGER KING,2018-05-14,1318283.36,146778.26,8.981461968550384,,
BURGER KING,2018-05-15,1408956.15,157767.74,8.930571928076043,,
BURGER KING,2018-05-16,1478874.38,164352.56,8.99818280895655,,
BURGER KING,2018-05-17,1559600.34,170630.62,9.140213755303709,,
BURGER KING,2018-05-18,1815033.06,190493.72,9.528046698862305,,
BURGER KING,2018-05-19,1653264.52,157363.36,10.506032153863519,,
BURGER KING,2018-05-20,1461270.53,134790.6,10.841041808553415,,
BURGER KING,2018-05-21,1345370.98,149865.14,8.977210977816455,,
BURGER KING,2018-05-22,1407008.5,157308.23,8.94427774058611,,
BURGER KING,2018-05-23,1497070.26,165815.49,9.02853080855112,,
BURGER KING,2018-05-24,1640040.39,176496.8,9.292182011231931,,
BURGER KING,2018-05-25,1873721.67,190931.26,9.813592965342604,,
BURGER KING,2018-05-26,1567126.35,147996.64,10.588931951428085,,
BURGER KING,2018-05-27,1344321.22,123332.46,10.899978967418633,,
BURGER KING,2018-05-28,1285396.65,119617.49,10.745892176804578,,
BURGER KING,2018-05-29,1311485.61,146485.64,8.952997781898622,,
BURGER KING,2018-05-30,1459444.37,160655.92,9.084286280891485,,
BURGER KING,2018-05-31,1622334.51,174804.79,9.280835553762572,,
BURGER KING,2018-06-01,1883717.06,194865.8,9.666740187349449,,
BURGER KING,2018-06-02,1677562.34,159772.3,10.499707020553627,,
